gesture_id,gesture_name,error_code,error_desc
G08,Part the wild horse's mane,E00,No Error
G08,Part the wild horse's mane,E01,Front knee extending beyond toes
G08,Part the wild horse's mane,E02,Hands not aligned diagonally
G08,Part the wild horse's mane,E03,Shoulders lifted
G08,Part the wild horse's mane,E04,Back foot angle too wide
G08,Part the wild horse's mane,E05,Arms not coordinated with step
G08,Part the wild horse's mane,E06,Elbows locked or too high
G08,Part the wild horse's mane,E07,Weight not centered
G08,Part the wild horse's mane,E08,Head leaning forward
G08,Part the wild horse's mane,E09,Hips not relaxed
G09,Golden rooster stands on one leg,E00,No Error
G09,Golden rooster stands on one leg,E01,Hips not level
G09,Golden rooster stands on one leg,E02,Standing knee locked
G09,Golden rooster stands on one leg,E03,Spine leaning forward or backward
G09,Golden rooster stands on one leg,E04,Arms unbalanced
G09,Golden rooster stands on one leg,E05,Elbows raised too high
G09,Golden rooster stands on one leg,E06,Shoulders tense
G09,Golden rooster stands on one leg,E07,Foot lifted too low or too high
G09,Golden rooster stands on one leg,E08,Head tilted
G09,Golden rooster stands on one leg,E09,Weight shifting during balance
G10,Fair lady works shuttles,E00,No Error
G10,Fair lady works shuttles,E01,Arms not coordinated diagonally
G10,Fair lady works shuttles,E02,Front knee collapsing inward
G10,Fair lady works shuttles,E03,Shoulders raised
G10,Fair lady works shuttles,E04,Weight not transferred smoothly
G10,Fair lady works shuttles,E05,Hands misaligned with centerline
G10,Fair lady works shuttles,E06,Back foot pointing outward
G10,Fair lady works shuttles,E07,Torso rotation incomplete
G10,Fair lady works shuttles,E08,Elbows too straight
G10,Fair lady works shuttles,E09,Movement too stiff
G11,Kick with heel,E00,No Error
G11,Kick with heel,E01,Supporting leg not stable
G11,Kick with heel,E02,Hips tilted
G11,Kick with heel,E03,Upper body leaning backward
G11,Kick with heel,E04,Arms not balanced
G11,Kick with heel,E05,Kick too high or uncontrolled
G11,Kick with heel,E06,Knee locked on supporting leg
G11,Kick with heel,E07,Shoulders tense
G11,Kick with heel,E08,Timing between arms and kick off
G11,Kick with heel,E09,Weight shifting prematurely
